,intensive_care,hospitalised,tot_positives,delta_tot_positives,new_positives,deceased,delta_icus,delta_deceased
2020-02-25,35,150,311,90,93,10,9.0,3.0
2020-02-26,36,164,385,74,78,12,1.0,2.0
2020-02-27,56,304,588,203,250,17,20.0,5.0
2020-02-28,64,409,821,233,238,21,8.0,4.0
2020-02-29,105,506,1049,228,240,29,41.0,8.0
2020-03-01,140,779,1577,528,566,34,35.0,5.0
2020-03-02,166,908,1835,258,342,52,26.0,18.0
2020-03-03,229,1263,2263,428,466,79,63.0,27.0
2020-03-04,295,1641,2706,443,587,107,66.0,28.0
2020-03-05,351,2141,3296,590,769,148,56.0,41.0
2020-03-06,462,2856,3916,620,778,197,111.0,49.0
2020-03-07,567,3218,5061,1145,1247,233,105.0,36.0
2020-03-08,650,4207,6387,1326,1492,366,83.0,133.0
2020-03-09,733,5049,7985,1598,1797,463,83.0,97.0
2020-03-10,877,5915,8514,529,977,631,144.0,168.0
2020-03-11,1028,6866,10590,2076,2313,827,151.0,196.0
2020-03-12,1153,7803,12839,2249,2651,1016,125.0,189.0
2020-03-13,1328,8754,14955,2116,2547,1266,175.0,250.0
2020-03-14,1518,9890,17750,2795,3497,1441,190.0,175.0
2020-03-15,1672,11335,20603,2853,3590,1809,154.0,368.0
2020-03-16,1851,12876,23073,2470,3233,2158,179.0,349.0
2020-03-17,2060,14954,26062,2989,3526,2503,209.0,345.0
2020-03-18,2257,16620,28710,2648,4207,2978,197.0,475.0
2020-03-19,2498,18255,33190,4480,5322,3405,241.0,427.0
2020-03-20,2655,18675,37860,4670,5986,4032,157.0,627.0
2020-03-21,2857,20565,42681,4821,6557,4825,202.0,793.0
2020-03-22,3009,22855,46638,3957,5560,5476,152.0,651.0
2020-03-23,3204,23896,50418,3780,4789,6077,195.0,601.0
2020-03-24,3396,25333,54030,3612,5249,6820,192.0,743.0
2020-03-25,3489,26601,57521,3491,5210,7503,93.0,683.0
2020-03-26,3612,28365,62013,4492,6153,8165,123.0,662.0
2020-03-27,3732,29761,66414,4401,5959,9134,120.0,969.0
2020-03-28,3856,30532,70065,3651,5974,10023,124.0,889.0
2020-03-29,3906,31292,73880,3815,5217,10779,50.0,756.0
2020-03-30,3981,31776,75528,1648,4050,11591,75.0,812.0
2020-03-31,4023,32215,77635,2107,4053,12428,42.0,837.0
2020-04-01,4035,32438,80572,2937,4782,13155,12.0,727.0
